address,price,movein_t,movein_d,bedrooms
2033 Haste St,1974.0,1401606000.0,2014-06-01,2
2033 Haste St,2329.0,1408172400.0,2014-08-16,2
2033 Haste St,2431.0,1409554800.0,2014-09-01,2
2033 Haste St,1695.0,1438585200.0,2015-08-03,1
2033 Haste St,1695.0,1439708400.0,2015-08-16,1
2033 Haste St,1695.0,1433574000.0,2015-06-06,1
2033 Haste St,1850.0,1438412400.0,2015-08-01,1
2033 Haste St,2850.0,1433574000.0,2015-06-06,2
2033 Haste St,1314.0,1389340800.0,2014-01-10,1
2033 Haste St,1269.0,1389340800.0,2014-01-10,1
2033 Haste St,1365.0,1401778800.0,2014-06-03,1
2033 Haste St,1365.0,1394953200.0,2014-03-16,1
2033 Haste St,1416.0,1404198000.0,2014-07-01,1
2033 Haste St,1416.0,1401951600.0,2014-06-05,1
2033 Haste St,1495.0,1426402800.0,2015-03-15,1
2033 Haste St,1416.0,1401606000.0,2014-06-01,1
2033 Haste St,1495.0,1425542400.0,2015-03-05,1
2033 Haste St,1495.0,1420099200.0,2015-01-01,1
2033 Haste St,1695.0,1433919600.0,2015-06-10,1
2033 Haste St,1695.0,1442041200.0,2015-09-12,1
2033 Haste St,1695.0,1436511600.0,2015-07-10,1
2033 Haste St,1695.0,1433487600.0,2015-06-05,1
2033 Haste St,1695.0,1438758000.0,2015-08-05,1
2033 Haste St,1695.0,1438412400.0,2015-08-01,1
2033 Haste St,1695.0,1443682800.0,2015-10-01,1
2033 Haste St,1695.0,1436338800.0,2015-07-08,1
2033 Haste St,1695.0,1433142000.0,2015-06-01,1
2033 Haste St,1695.0,1433574000.0,2015-06-06,1
2425 Fulton St,1200.0,1395558000.0,2014-03-23,0
2425 Fulton St,1175.0,1389340800.0,2014-01-10,0
2425 Fulton St,1350.0,1407394800.0,2014-08-07,0
2425 Fulton St,1300.0,1397890800.0,2014-04-19,0
2425 Fulton St,1450.0,1413010800.0,2014-10-11,0
2425 Fulton St,1350.0,1410505200.0,2014-09-12,0
2425 Fulton St,1500.0,1388822400.0,2014-01-04,0
2231 Dwight Way,4359.0,1401865200.0,2014-06-04,3
2491 Ellsworth St,1850.0,1447574400.0,2015-11-15,0
2491 Ellsworth St,1850.0,1452326400.0,2016-01-09,0
2491 Ellsworth St,1850.0,1453017600.0,2016-01-17,0
2491 Ellsworth St,1885.0,1425196800.0,2015-03-01,0
2491 Ellsworth St,1750.0,1431673200.0,2015-05-15,0
2491 Ellsworth St,1750.0,1446883200.0,2015-11-07,0
2491 Ellsworth St,1776.0,1408777200.0,2014-08-23,0
2491 Ellsworth St,1776.0,1404889200.0,2014-07-09,0
2491 Ellsworth St,2085.0,1420099200.0,2015-01-01,1
2491 Ellsworth St,2116.0,1409554800.0,2014-09-01,1
2491 Ellsworth St,1472.0,1389772800.0,2014-01-15,0
2491 Ellsworth St,1472.0,1390118400.0,2014-01-19,0
2491 Ellsworth St,1573.0,1404198000.0,2014-07-01,0
2491 Ellsworth St,1573.0,1405407600.0,2014-07-15,0
2491 Ellsworth St,1650.0,1433919600.0,2015-06-10,0
2491 Ellsworth St,1573.0,1389081600.0,2014-01-07,0
2491 Ellsworth St,1650.0,1440054000.0,2015-08-20,0
2491 Ellsworth St,1650.0,1443682800.0,2015-10-01,0
2491 Ellsworth St,1650.0,1434351600.0,2015-06-15,0
2491 Ellsworth St,1650.0,1422777600.0,2015-02-01,0
2491 Ellsworth St,1750.0,1433142000.0,2015-06-01,0
2491 Ellsworth St,1650.0,1440054000.0,2015-08-20,0
2491 Ellsworth St,1650.0,1433142000.0,2015-06-01,0
2491 Ellsworth St,1750.0,1446361200.0,2015-11-01,0
2491 Ellsworth St,1675.0,1405407600.0,2014-07-15,0
2491 Ellsworth St,1750.0,1444892400.0,2015-10-15,0
2491 Ellsworth St,1750.0,1420099200.0,2015-01-01,0
2491 Ellsworth St,1750.0,1437462000.0,2015-07-21,0
2491 Ellsworth St,1750.0,1441609200.0,2015-09-07,0
2491 Ellsworth St,1750.0,1421740800.0,2015-01-20,0
2491 Ellsworth St,2285.0,1444892400.0,2015-10-15,1
2491 Ellsworth St,2218.0,1402815600.0,2014-06-15,1
2491 Ellsworth St,2485.0,1444201200.0,2015-10-07,1
2491 Ellsworth St,2385.0,1435734000.0,2015-07-01,1
2321 Dwight Way,1421.0,1406876400.0,2014-08-01,0
2321 Dwight Way,1370.0,1401606000.0,2014-06-01,0
2321 Dwight Way,1450.0,1401606000.0,2014-06-01,0
2321 Dwight Way,1450.0,1421049600.0,2015-01-12,0
2321 Dwight Way,1500.0,1433142000.0,2015-06-01,0
2321 Dwight Way,1500.0,1430463600.0,2015-05-01,0
2321 Dwight Way,1523.0,1406876400.0,2014-08-01,0
2321 Dwight Way,1500.0,1433142000.0,2015-06-01,0
2321 Dwight Way,1600.0,1420099200.0,2015-01-01,0
2321 Dwight Way,1573.0,1401606000.0,2014-06-01,0
2321 Dwight Way,1600.0,1433142000.0,2015-06-01,2
2321 Dwight Way,1600.0,1433142000.0,2015-06-01,0
2321 Dwight Way,1600.0,1433142000.0,2015-06-01,0
2321 Dwight Way,1700.0,1422086400.0,2015-01-24,1
2321 Dwight Way,1600.0,1433142000.0,2015-06-01,0
2321 Dwight Way,2436.0,1406876400.0,2014-08-01,2
2321 Dwight Way,2600.0,1433142000.0,2015-06-01,2
2321 Dwight Way,2600.0,1433142000.0,2015-06-01,2
2329 Dwight Way,3500.0,1433142000.0,2015-06-01,2
2333 Dwight Way,1395.0,1433746800.0,2015-06-08,1
1914 Channing Way,1825.0,1439449200.0,2015-08-13,0
1914 Channing Way,1472.0,1394694000.0,2014-03-13,0
1914 Channing Way,2000.0,1440399600.0,2015-08-24,1
1918 Channing Way,2495.0,1435820400.0,2015-07-02,2
1918 Channing Way,1720.0,1401692400.0,2014-06-02,2
1938 Channing Way,3857.0,1407913200.0,2014-08-13,3
1938 Channing Way,2700.0,1404370800.0,2014-07-03,3
2015 Haste St,1995.0,1434351600.0,2015-06-15,1
2015 Haste St,1619.0,1401606000.0,2014-06-01,1
2015 Haste St,1995.0,1433142000.0,2015-06-01,1
2015 Haste St,1995.0,1434092400.0,2015-06-12,1
2015 Haste St,2595.0,1439881200.0,2015-08-18,2
2015 Haste St,2395.0,1433142000.0,2015-06-01,2
2015 Haste St,4950.0,1436511600.0,2015-07-10,3
2015 Haste St,2595.0,1438412400.0,2015-08-01,2
2206 Haste St,1200.0,1395558000.0,2014-03-23,0
2206 Haste St,1175.0,1389340800.0,2014-01-10,0
2206 Haste St,1350.0,1407394800.0,2014-08-07,0
2206 Haste St,1300.0,1397890800.0,2014-04-19,0
2206 Haste St,1450.0,1413010800.0,2014-10-11,0
2206 Haste St,1350.0,1410505200.0,2014-09-12,0
2206 Haste St,1500.0,1388822400.0,2014-01-04,0
2210 Haste St,900.0,1435734000.0,2015-07-01,1
2210 Haste St,761.0,1401606000.0,2014-06-01,1
2214 Haste St,1218.0,1397545200.0,2014-04-15,0
2214 Haste St,1117.0,1389427200.0,2014-01-11,0
2214 Haste St,1314.0,1406444400.0,2014-07-27,0
2214 Haste St,1299.0,1401606000.0,2014-06-01,0
2214 Haste St,1472.0,1401778800.0,2014-06-03,1
2214 Haste St,1495.0,1420876800.0,2015-01-10,0
2214 Haste St,1619.0,1400137200.0,2014-05-15,1
2218 Haste St,1595.0,1435734000.0,2015-07-01,0
2218 Haste St,1595.0,1438585200.0,2015-08-03,0
2218 Haste St,1755.0,1433314800.0,2015-06-03,0
2218 Haste St,1500.0,1432191600.0,2015-05-21,0
2218 Haste St,1320.0,1422777600.0,2015-02-01,0
2218 Haste St,1314.0,1401778800.0,2014-06-03,0
2218 Haste St,1370.0,1406962800.0,2014-08-02,0
2218 Haste St,1595.0,1433314800.0,2015-06-03,0
2218 Haste St,1550.0,1433142000.0,2015-06-01,0
2218 Haste St,1595.0,1437375600.0,2015-07-20,0
2218 Haste St,1595.0,1433314800.0,2015-06-03,0
2218 Haste St,1595.0,1434438000.0,2015-06-16,0
2218 Haste St,1595.0,1433142000.0,2015-06-01,0
2222 Haste St,2200.0,1433142000.0,2015-06-01,1
2230 Haste St,2595.0,1433142000.0,2015-06-01,2
2230 Haste St,2595.0,1433142000.0,2015-06-01,2
2230 Haste St,2595.0,1433142000.0,2015-06-01,2
2230 Haste St,2595.0,1433142000.0,2015-06-01,2
2230 Haste St,1517.0,1401606000.0,2014-06-01,1
2230 Haste St,1517.0,1401606000.0,2014-06-01,1
2230 Haste St,1619.0,1401606000.0,2014-06-01,1
2230 Haste St,1595.0,1420099200.0,2015-01-01,1
2230 Haste St,1619.0,1401606000.0,2014-06-01,1
2230 Haste St,1619.0,1401606000.0,2014-06-01,1
2230 Haste St,1695.0,1433142000.0,2015-06-01,1
2230 Haste St,1619.0,1401606000.0,2014-06-01,1
2230 Haste St,1695.0,1433142000.0,2015-06-01,1
2230 Haste St,1695.0,1433142000.0,2015-06-01,1
2230 Haste St,1695.0,1433142000.0,2015-06-01,1
2230 Haste St,1695.0,1433142000.0,2015-06-01,1
2230 Haste St,1695.0,1433142000.0,2015-06-01,1
2230 Haste St,1695.0,1433142000.0,2015-06-01,1
2230 Haste St,1695.0,1433142000.0,2015-06-01,1
2230 Haste St,2532.0,1401606000.0,2014-06-01,2
2230 Haste St,2532.0,1406876400.0,2014-08-01,2
2230 Haste St,2532.0,1401606000.0,2014-06-01,2
2230 Haste St,2595.0,1433142000.0,2015-06-01,2
2230 Haste St,2532.0,1401606000.0,2014-06-01,2
2232 Haste St,1400.0,1433314800.0,2015-06-03,0
2232 Haste St,1395.0,1427958000.0,2015-04-02,0
2232 Haste St,1895.0,1435734000.0,2015-07-01,0
2232 Haste St,1795.0,1434783600.0,2015-06-20,0
2232 Haste St,1720.0,1401778800.0,2014-06-03,2
2232 Haste St,2695.0,1439449200.0,2015-08-13,0
2232 Haste St,3895.0,1433228400.0,2015-06-02,3
2232 Haste St,2595.0,1438498800.0,2015-08-02,2
2431 Ellsworth St,1517.0,1402297200.0,2014-06-09,1
2431 Ellsworth St,1517.0,1400828400.0,2014-05-23,1
2431 Ellsworth St,1572.0,1402038000.0,2014-06-06,1
2431 Ellsworth St,1523.0,1407567600.0,2014-08-09,1
2431 Ellsworth St,2431.0,1401433200.0,2014-05-30,2
2431 Ellsworth St,1895.0,1431154800.0,2015-05-09,1
2431 Ellsworth St,2532.0,1406876400.0,2014-08-01,2
2431 Ellsworth St,2487.0,1408345200.0,2014-08-18,2
2431 Ellsworth St,2532.0,1403247600.0,2014-06-20,2
2431 Ellsworth St,2532.0,1402297200.0,2014-06-09,2
2431 Ellsworth St,2795.0,1434351600.0,2015-06-15,2
2431 Ellsworth St,2532.0,1405926000.0,2014-07-21,2
2431 Ellsworth St,2532.0,1402556400.0,2014-06-12,2
2431 Ellsworth St,2695.0,1435734000.0,2015-07-01,2
2431 Ellsworth St,2695.0,1434351600.0,2015-06-15,2
2431 Ellsworth St,2895.0,1452240000.0,2016-01-08,2
2431 Ellsworth St,4095.0,1452499200.0,2016-01-11,3
2431 Ellsworth St,2895.0,1434956400.0,2015-06-22,2
2315 Dwight Way,485.0,1433228400.0,2015-06-02,0
2315 Dwight Way,485.0,1433228400.0,2015-06-02,0
2315 Dwight Way,485.0,1432018800.0,2015-05-19,0
2315 Dwight Way,485.0,1432278000.0,2015-05-22,0
2315 Dwight Way,485.0,1432623600.0,2015-05-26,0
2315 Dwight Way,485.0,1435734000.0,2015-07-01,0
2315 Dwight Way,485.0,1435734000.0,2015-07-01,0
2315 Dwight Way,485.0,1435734000.0,2015-07-01,0
2315 Dwight Way,485.0,1420272000.0,2015-01-03,0
2315 Dwight Way,485.0,1432278000.0,2015-05-22,0
2315 Dwight Way,395.0,1420272000.0,2015-01-03,0
2315 Dwight Way,395.0,1422000000.0,2015-01-23,0
2315 Dwight Way,395.0,1420272000.0,2015-01-03,0
2315 Dwight Way,620.0,1435734000.0,2015-07-01,0
2315 Dwight Way,620.0,1442386800.0,2015-09-16,0
2315 Dwight Way,595.0,1435734000.0,2015-07-01,0
2315 Dwight Way,595.0,1433228400.0,2015-06-02,0
2315 Dwight Way,595.0,1433314800.0,2015-06-03,0
2315 Dwight Way,595.0,1427871600.0,2015-04-01,0
2315 Dwight Way,492.0,1409641200.0,2014-09-02,0
