,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room
385,3048 Halcyon Ct,1,1,37.854109,-122.261198,950,2200
386,2004 Emerson St,0,0,37.854126,-122.268642,0,1684
387,2703 Woolsey St,0,0,37.854131,-122.252442,0,1827
388,2008 Emerson St,0,0,37.854135,-122.268545,0,1684
389,2915 Stanton St,0,0,37.854223,-122.279947,0,1624
390,1628 Julia St,0,0,37.854341,-122.275819,0,2030
391,3030 Regent St,0,0,37.854348,-122.256672,0,1958
392,3046 College Ave,0,0,37.854364,-122.253094,0,2675
393,1634 Julia St,0,0,37.854373,-122.275556,0,1488
394,1829 Ashby Ave,0,0,37.854418,-122.271781,0,1582
395,1640 Julia St,0,0,37.85442,-122.275185,0,1269
396,3042 Telegraph Ave,0,0,37.854429,-122.260334,0,1000
397,3025 Adeline St,0,0,37.854446,-122.268794,0,1269
398,3021 Shattuck Ave,0,0,37.854453,-122.265977,0,1878
399,1505 Julia St,0,0,37.854456,-122.27888,0,1800
400,3028 Colby St,0,0,37.854475,-122.257722,0,2225
401,3021 Dana St,0,0,37.854515,-122.258367,0,903
402,2017 Emerson St,0,0,37.854516,-122.268302,0,2510
403,2817 Woolsey St,0,0,37.854522,-122.249521,0,1750
404,1939 Ashby Ave,0,0,37.854524,-122.27044,0,1250
405,0 0,1,1,37.854526,-122.27048,500,1600
406,1911 Ashby Ave,0,0,37.854575,-122.270771,0,1800
407,1535 Julia St,0,0,37.854606,-122.277761,0,1300
408,1434 Russell street,1,1,37.85461,-122.280149,550,1895
409,adeline at ashby,0,2,37.854626,-122.26968,0,1400
410,1993 Ashby Ave,0,0,37.854633,-122.269678,0,1929
411,2924 Sacramento St,0,2,37.854672,-122.279637,0,1400
412,3050 college,3,4,37.854675,-122.253349,3400,1875
413,2075 Emerson St,0,0,37.854696,-122.266975,0,1827
414,3040 Telegraph Ave,0,0,37.854709,-122.259961,0,1511
415,2700 Prince St,0,0,37.854751,-122.252512,0,2000
416,2302 Webster St,0,0,37.854756,-122.262002,0,1900
417,2929 Harper St,0,0,37.854813,-122.271918,0,2645
418,1629 Julia St,0,0,37.854819,-122.275898,0,2335
419,3024 Deakin St,0,0,37.854826,-122.262584,0,1345
420,2925 Harper St,0,0,37.854856,-122.27217,0,3600
421,3008 Dana St,0,0,37.854875,-122.258843,0,2182
422,2925 Ellis St,0,0,37.854877,-122.272977,0,1929
423,2076 ashby ave,1,2,37.854881,-122.267039,950,1394
424,2137 Emerson St,0,0,37.85489,-122.265518,0,1421
425,1635 Julia St,0,0,37.854895,-122.275561,0,1546
426,2030 Ashby Ave,0,0,37.854898,-122.267548,0,1239
427,1639 Julia St,0,0,37.854924,-122.275353,0,1625
428,2701 Prince Street,0,1,37.854926,-122.25338,0,2850
429,2034 Ashby Ave,0,0,37.854927,-122.267379,0,1095
430,2147 Emerson St,0,0,37.854936,-122.265182,0,1624
431,Martin Luther King Jr at Russell St,0,2,37.854949,-122.271352,0,1400
432,3018 Fulton St,0,0,37.854957,-122.263701,0,1472
433,2927 Harper St,0,0,37.854966,-122.271935,0,3600
