address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs
1405 Spring Way,0,1,37.882534,-122.263745,0,1995,0.756,4.025,4,0
1405 Spruce St,0,0,37.882247,-122.265858,0,2460,0.782,4.025,6,1
1406 Henry St,0,0,37.881309,-122.271231,0,2307,0.904,3.85,8,0
1408 Allston Way,0,0,37.866646,-122.283243,0,1320,1.353,4.075,0,0
1409 Carleton St,0,0,37.859677,-122.281749,0,1795,1.489,4.125,7,1
141 Forest Ln,0,0,37.895778,-122.261214,0,1117,1.635,4.025,3,0
1410 Parker St,0,0,37.859943,-122.282291,0,4100,1.503,4.125,7,1
1411 Alcatraz Ave,0,0,37.847606,-122.278718,0,1785,1.991,4,5,1
1411 Kains Ave,0,0,37.878542,-122.293941,0,2300,1.936,4.15,6,0
1412 66th St,0,0,37.849904,-122.279557,0,2250,1.884,4.025,5,0
1412 9th St,0,0,37.877737,-122.29753,0,1703,2.117,4.15,6,0
1413 Alcatraz Ave,0,0,37.848025,-122.27896,0,1785,1.973,4,5,1
1415.7th Street,1,2,37.877489,-122.29994,750,1050,2.243,3.975,1,2
1416 8th St,0,0,37.877309,-122.29873,0,1100,2.176,4.05,3,0
1418 Spruce St,0,0,37.881721,-122.266406,0,2600,0.764,4.025,4,0
142 Caldecott Ln,2,3,37.853983,-122.222793,1648,1165,2.363,4.175,1,0
1420 Acton Crescent,0,0,37.867758,-122.283268,0,1720,1.335,3.95,0,0
1420 Addison St,0,0,37.868705,-122.282801,0,1942,1.297,4.125,1,2
1420 Neilson St,0,0,37.878738,-122.290398,0,1975,1.752,4.125,6,0
1421 Arch St,0,0,37.88196,-122.264638,0,2400,0.736,4.125,4,0
1421 McGee Ave,0,0,37.879477,-122.279341,0,1421,1.199,4.025,3,0
1421 Milvia St,0,0,37.880963,-122.271425,0,2238,0.895,4.1,5,0
1421 Walnut St,0,0,37.881525,-122.267997,0,2860,0.8,4.175,0,2
1422 Milvia St,0,0,37.880892,-122.272091,0,2200,0.918,4.025,2,0
1423 Milvia St,0,0,37.880922,-122.271619,0,2238,0.9,4.05,3,0
1423 Oxford St,0,0,37.881465,-122.266842,0,1472,0.761,4.075,4,0
1423 Walnut St,0,0,37.881388,-122.267983,0,3000,0.792,4.125,4,0
1426 Addison St,0,0,37.86906,-122.28279,0,4395,1.292,3.95,5,2
1426 Spruce St,0,0,37.881412,-122.266367,0,1708,0.744,4,3,0
1428 Berkeley Way,0,0,37.870969,-122.282917,0,1827,1.284,3.925,4,3
1428 Bonita Ave,0,0,37.880395,-122.273179,0,1903,0.943,4.025,2,0
1428 Hearst Ave,0,0,37.871539,-122.283119,0,1421,1.294,3.925,3,1
1429 Dwight Way,0,0,37.862232,-122.282779,0,1834,1.445,4.075,5,1
1429 Spruce St,0,0,37.881365,-122.265745,0,2150,0.725,4.05,3,0
1430 Berkeley Way,0,0,37.870863,-122.282851,0,1827,1.281,3.95,2,1
1430 Hearst Ave,0,0,37.871554,-122.282998,0,1400,1.287,4.1,3,1
1430 Josephine St,0,0,37.880056,-122.275429,0,1979,1.03,4.025,3,0
1431 Berkeley Way,0,0,37.87126,-122.283063,0,1000,1.291,3.975,1,1
1432 Arch St,0,0,37.881408,-122.265223,0,1579,0.715,4.1,5,0
1433 9th St,0,0,37.877733,-122.296963,0,2012,2.086,3.95,5,1
1433 Spruce St,0,0,37.881105,-122.265655,0,2095,0.707,4.05,3,0
1434 Russell street,1,1,37.85461,-122.280149,550,1895,1.654,4.1,6,1
1435 Bonita Ave,0,0,37.8804,-122.272497,0,2334,0.913,4.125,5,0
1436 Arch St,0,0,37.881231,-122.265261,0,2650,0.705,4.025,3,0
1437 Bancroft Way,0,0,37.865968,-122.281967,0,850,1.301,4.025,2,2
1437 Ward St,1,2,37.857742,-122.281302,850,875,1.551,4.125,6,1
