,Unnamed: 0,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs,edge_distance
121,121,1238 Haskell St,0,0,37.850509,-122.284076,0,954,2.007,4.0,5,0,2.77075592557
122,122,1239 Berkeley Way,0,0,37.870603,-122.287918,0,2150,1.559,3.975,1,2,1.91318355269
123,123,1240 Milvia St,0,0,37.883758,-122.272362,0,1332,1.069,4.0,2,0,1.36900255418
124,124,1243 allston way,1,1,37.866897,-122.287494,650,2495,1.574,3.95,0,0,1.93022958148
125,125,1244 Hearst Ave,0,0,37.870539,-122.288786,0,2030,1.606,3.975,1,2,1.98954762803
126,126,1245 Ashby Ave,0,0,37.852842,-122.284617,0,2100,1.912,4.125,6,1,2.59103035001
127,127,1245 Dwight,2,2,37.861555,-122.286819,1050,1750,1.663,4.1,6,2,2.09824785168
128,128,1245 Francisco St,0,0,37.873463,-122.288056,0,2195,1.566,4.0,4,0,1.94414200192
129,129,1246 Hearst Ave,0,0,37.870975,-122.288815,0,2030,1.606,3.925,3,1,1.99142771776
130,130,1248 Ashby Ave,0,0,37.85239,-122.284254,0,1218,1.92,4.125,6,1,2.61086273449
131,131,1250 Campus drive,2,3,37.886438,-122.254894,1575,1233,1.02,3.975,4,0,1.41700658413
132,132,1252 Hopkins St,0,0,37.877287,-122.28962,0,1370,1.687,4.025,4,0,2.17734477038
133,133,1260 Hopkins St,0,0,37.877516,-122.28911,0,2148,1.663,4.05,4,0,2.14346209121
134,134,1266 Bancroft Way,0,0,37.864883,-122.287153,0,1400,1.593,4.0,5,1,1.96701070277
135,135,1275 Bonita Avenue,1,3,37.883915,-122.273702,800,1166,1.126,4.025,5,0,1.46464621854
136,136,1275 University Ave,0,0,37.870006,-122.287303,0,1693,1.529,3.95,5,1,1.86197068016
137,137,1277 Hearst Ave,0,0,37.871529,-122.287395,0,2273,1.527,3.95,4,1,1.8676659166
138,138,1290 Hopkins St,0,0,37.877478,-122.288522,0,2220,1.631,4.175,6,0,2.09349208685
139,139,1299 Carlotta Ave,0,0,37.882736,-122.280345,0,2850,1.356,4.025,6,1,1.80566382409
140,140,1300 Albina Ave,0,0,37.882112,-122.284033,0,2228,1.51,4.15,0,1,1.99921238008
141,141,1301 Delaware St,0,0,37.87278,-122.286713,0,3000,1.49,3.925,3,3,1.81765334
142,142,1301 Gilman St,0,0,37.881583,-122.289657,0,1243,1.775,4.15,2,3,2.37708351885
143,143,1302 Albina Ave,0,0,37.881994,-122.284073,0,3300,1.508,4.175,0,0,1.99389931309
144,144,1304 Albina Ave,0,0,37.882138,-122.284296,0,3000,1.523,4.075,2,2,2.01918500573
145,145,1305 Carrison St,0,0,37.852224,-122.28316,0,1434,1.886,4.125,6,1,2.56844328101
146,146,1306 Cedar St,0,0,37.875716,-122.288191,0,2436,1.59,4.075,6,0,2.00634264708
147,147,1310 Burnett St,0,0,37.853508,-122.283211,0,1847,1.825,4.125,7,1,2.45645072541
148,148,1311 Addison St,0,0,37.869194,-122.285868,0,1015,1.457,3.9,2,1,1.74430718597
149,149,1312 Josephine St,0,0,37.88249,-122.275715,0,2325,1.141,4.075,4,0,1.50248095257
150,150,1313 San Pablo Ave,0,0,37.880245,-122.295553,0,2195,2.051,4.1,6,0,2.78001319346
151,151,1314 Ashby Ave,0,0,37.852644,-122.282955,0,1573,1.858,4.125,7,1,2.52000862342
152,152,1315 Dwight Way,0,0,37.862315,-122.285405,0,1658,1.571,4.05,6,1,1.94847145502
153,153,1315 Henry St,0,0,37.883081,-122.270512,0,2000,0.968,4.075,3,0,1.20421589851
154,154,1315 Spruce St,0,0,37.883431,-122.265944,0,1559,0.858,4.0,2,0,1.02776069821
155,155,1316 Bonita Ave,0,0,37.882468,-122.273407,0,2900,1.045,4.075,3,0,1.33873462017
156,156,1316 Burnett St,0,0,37.853549,-122.283012,0,1929,1.815,4.125,7,1,2.44219603604
157,157,1317 Hopkins St,0,0,37.878737,-122.288022,0,3200,1.627,4.025,4,2,2.1055608155
158,158,1318 Shattuck Ave,0,0,37.883102,-122.27004,0,2132,0.953,4.05,4,0,1.17953406883
159,159,1319 Haskell St,0,0,37.851536,-122.282452,0,1523,1.895,4.025,4,1,2.59622163155
160,160,1320 Josephine St,0,0,37.88215,-122.275673,0,1600,1.125,4.05,3,0,1.47834080306
161,161,1321 Dwight Way,0,0,37.861777,-122.285299,0,1658,1.582,4.025,7,1,1.97087474521
162,162,1322 Ashby Ave,0,0,37.85271,-122.282615,0,2538,1.841,4.125,6,1,2.49663969341
163,163,1322 Channing Way,1,2,37.863511,-122.285465,1444,1650,1.54,3.975,4,1,1.89077376285
